labels,indexs,nr_pix,rows_with_1,cols_with_1,rows_with_2,cols_with_2,rows_with_3p,cols_with_3p,height,width,aspect_ratio,maxrow,maxcol,connected_areas,eyes,hollowness,custom
banana,01,94,1,1,9,5,20,17,29,22,0.759,8,9,1,1,2.277,0.692
banana,02,97,0,0,7,4,23,20,29,23,0.793,7,8,1,1,1.598,1.323
banana,03,106,1,1,11,11,21,17,32,28,0.875,7,9,1,1,1.047,1.171
banana,04,100,1,0,6,7,21,20,27,26,0.963,8,8,1,1,1.28,1.182
banana,05,78,0,1,9,8,15,14,23,22,0.957,8,8,1,2,0.923,1.034
banana,06,89,0,0,10,14,16,13,25,26,1.04,12,11,1,1,1.258,0.795
banana,07,80,1,0,5,15,16,11,21,25,1.19,10,8,1,1,1.3,0.833
banana,08,82,1,1,4,13,18,12,22,25,1.136,10,7,1,1,0.939,1.214
banana,09,96,2,0,7,11,20,17,28,27,0.964,9,8,1,1,1.312,1.118
banana,10,101,0,0,7,11,21,17,27,27,1,9,9,1,1,1.347,1
banana,11,136,0,0,4,7,28,27,31,33,1.065,10,8,1,1,1.816,1.054
banana,12,115,0,3,4,4,25,24,28,30,1.071,12,7,1,1,1.287,1.186
banana,13,100,1,1,6,6,23,18,29,24,0.828,9,8,1,1,1.22,1.324
banana,14,96,0,1,9,8,20,17,28,25,0.893,8,9,1,1,1.021,1.182
cherry,01,124,0,0,10,7,24,27,33,33,1,9,8,1,1,5.145,0.705
cherry,02,97,0,0,12,6,15,19,26,24,0.923,13,8,1,1,3.691,0.69
cherry,03,112,0,10,9,10,22,18,30,37,1.233,10,12,1,1,4.241,0.511
cherry,04,97,0,0,5,7,20,20,24,26,1.083,12,7,1,1,3.423,0.879
cherry,05,116,0,0,13,6,17,25,29,30,1.034,16,7,1,1,4.422,0.604
cherry,06,90,5,0,12,5,12,22,28,26,0.929,11,6,1,1,4.044,0.697
cherry,07,97,0,3,11,10,15,18,25,30,1.2,9,9,1,1,3.804,0.632
cherry,08,105,0,0,15,8,17,21,31,28,0.903,10,7,1,1,4.781,0.789
cherry,09,101,3,0,13,4,17,22,32,25,0.781,11,11,1,1,4.069,0.676
cherry,10,96,2,0,13,8,14,20,28,27,0.964,9,8,1,1,4.062,0.735
cherry,11,101,9,0,12,16,14,14,34,29,0.853,13,11,1,1,4.941,0.404
cherry,12,95,0,4,10,4,18,19,27,26,0.963,10,9,1,1,3.495,0.765
cherry,13,97,4,0,10,6,15,20,28,25,0.893,17,10,1,1,3.742,0.643
cherry,14,106,0,1,11,7,20,23,30,30,1,9,7,1,1,4.632,0.8
envelope,01,116,0,0,5,0,10,26,14,25,1.786,26,15,1,2,2.362,0.253
envelope,02,134,0,0,8,0,14,27,21,26,1.238,25,21,1,2,3.082,0.184
envelope,03,161,0,0,9,0,16,32,24,31,1.292,27,23,1,2,3.559,0.254
envelope,04,163,1,0,4,0,17,37,21,36,1.714,35,18,1,2,3.534,0.257
envelope,05,139,0,0,5,0,13,30,17,29,1.706,30,18,1,2,2.885,0.327
envelope,06,141,0,0,4,0,13,32,16,31,1.938,26,17,1,3,2.589,0.281
envelope,07,158,0,0,4,0,17,33,20,32,1.6,30,19,1,3,3.044,0.369
envelope,08,159,0,0,3,0,20,33,22,32,1.455,29,17,1,2,3.346,0.353
envelope,09,160,0,1,4,0,18,35,21,35,1.667,30,19,1,2,3.394,0.295
envelope,10,163,0,1,7,1,17,33,23,34,1.478,33,24,1,2,3.822,0.19
envelope,11,167,0,0,4,1,20,33,23,33,1.435,33,23,1,2,3.581,0.336
envelope,12,174,1,0,4,0,18,37,22,36,1.636,36,22,1,2,3.661,0.383
envelope,13,180,0,0,5,0,19,38,23,37,1.609,37,17,1,2,3.95,0.317
envelope,14,181,0,0,5,0,20,37,24,36,1.5,36,16,1,2,3.923,0.359
golfclub,01,108,8,0,17,12,8,21,32,32,1,12,6,3,1,0.75,0.778
golfclub,02,96,7,1,14,15,7,17,27,32,1.185,15,6,3,1,0.625,0.63
golfclub,03,99,14,0,9,4,10,25,32,28,0.875,11,6,3,1,0.859,0.641
golfclub,04,119,17,1,8,12,10,24,34,36,1.059,18,6,3,1,1.118,0.407
golfclub,05,105,16,0,11,10,9,22,35,31,0.886,13,6,3,1,0.705,0.522
golfclub,06,108,11,3,9,8,10,22,29,32,1.103,12,6,2,1,0.898,0.761
golfclub,07,100,12,1,12,11,8,20,31,31,1,13,8,2,1,0.67,0.609
golfclub,08,103,14,0,8,13,9,19,30,31,1.033,13,6,3,1,0.883,0.5
golfclub,09,95,12,0,9,7,8,22,28,28,1,12,6,3,1,0.632,0.523
golfclub,10,98,6,1,14,15,9,18,28,33,1.179,13,7,3,1,0.765,0.974
golfclub,11,100,11,1,10,13,9,19,29,32,1.103,16,6,3,1,0.78,0.732
golfclub,12,102,5,0,16,12,8,19,28,30,1.071,11,6,3,1,0.765,0.905
golfclub,13,110,4,1,16,12,9,21,28,33,1.179,15,6,3,1,0.7,0.851
golfclub,14,111,9,2,15,11,9,23,32,35,1.094,11,5,3,1,0.865,0.953
lemon,01,128,0,0,0,3,23,31,22,33,1.5,14,6,2,1,2.945,0.848
lemon,02,127,0,2,1,2,22,32,22,35,1.591,11,5,2,1,3.134,0.979
lemon,03,114,0,0,0,2,19,30,18,31,1.722,15,5,2,1,2.447,1.237
lemon,04,125,0,1,1,3,19,32,19,35,1.842,13,5,2,1,2.728,1.023
lemon,05,118,0,1,1,4,19,29,19,33,1.737,12,5,2,1,2.729,0.909
lemon,06,147,0,0,2,5,25,35,26,39,1.5,11,7,2,1,3.857,0.633
lemon,07,128,0,1,4,5,18,31,21,36,1.714,11,6,2,1,2.984,0.528
lemon,08,125,0,0,0,6,22,30,21,35,1.667,12,6,2,1,2.968,0.833
lemon,09,111,0,0,1,4,17,29,17,32,1.882,12,5,2,1,2.243,0.696
lemon,10,121,0,1,1,3,22,28,22,31,1.409,9,6,2,1,2.777,0.955
lemon,11,122,0,0,3,4,21,29,23,32,1.391,11,6,2,1,2.885,1
lemon,12,117,0,1,0,4,20,28,19,32,1.684,11,6,2,1,2.675,0.83
lemon,13,112,0,1,1,4,19,28,19,32,1.684,10,5,2,1,2.509,1
lemon,14,123,0,1,0,1,24,32,23,33,1.435,9,6,2,1,2.959,1.389
pencil,01,147,0,0,4,0,28,27,31,26,0.839,9,10,1,2,1.177,0
pencil,02,177,0,0,1,1,33,32,33,32,0.97,11,11,1,2,1.26,0
pencil,03,174,0,0,2,1,32,32,33,32,0.97,12,12,1,2,1.339,0
pencil,04,179,1,0,1,0,31,31,32,30,0.938,12,11,1,2,0.788,0
pencil,05,147,0,0,1,3,30,26,30,28,0.933,10,10,1,2,1.041,0
pencil,06,162,1,0,2,2,31,32,33,33,1,11,9,1,2,1.117,0
pencil,07,151,0,0,2,1,29,32,30,32,1.067,11,8,1,2,1.146,0
pencil,08,140,0,0,2,3,28,26,29,28,0.966,10,10,1,2,0.986,0
pencil,09,168,0,0,0,3,29,31,28,33,1.179,12,12,1,2,1.387,0
pencil,10,143,0,0,1,3,26,28,26,30,1.154,10,9,1,2,0.86,0
pencil,11,150,1,0,0,2,28,31,28,32,1.143,11,9,1,2,0.893,0
pencil,12,135,1,0,1,6,27,26,28,31,1.107,10,9,1,2,1.007,0
pencil,13,178,0,0,0,4,33,33,32,36,1.125,11,12,1,2,1.191,0
pencil,14,146,0,1,1,3,27,27,27,30,1.111,11,11,1,2,0.938,0
tree,01,119,0,12,12,2,19,16,30,29,0.967,12,12,1,0,0,0.492
tree,02,122,0,8,14,0,20,18,33,25,0.758,12,17,1,0,0,0.47
tree,03,159,0,11,15,0,23,27,37,37,1,18,14,1,0,0,0.266
tree,04,140,0,9,18,0,17,24,34,32,0.941,18,16,1,0,0,0.19
tree,05,155,0,5,15,0,23,30,37,34,0.919,12,19,1,0,0,0.296
tree,06,162,0,7,20,0,20,26,39,32,0.821,18,19,1,0,0,0.31
tree,07,138,0,12,20,3,16,19,35,33,0.943,19,20,1,0,0,0.193
tree,08,144,0,9,20,0,17,24,36,32,0.889,19,23,1,0,0,0.167
tree,09,145,0,11,17,1,22,22,38,33,0.868,14,15,1,0,0,0.235
tree,10,168,0,8,18,3,21,29,38,39,1.026,27,18,1,0,0,0.165
tree,11,154,0,8,15,0,23,26,37,33,0.892,15,17,1,0,0,0.321
tree,12,146,0,11,17,2,22,22,38,34,0.895,14,18,1,0,0,0.311
tree,13,152,1,13,20,2,18,22,38,36,0.947,17,20,1,0,0,0.19
tree,14,160,0,12,23,1,17,26,39,38,0.974,19,25,1,0,0,0.155
wineglass,01,72,15,0,5,9,9,11,28,19,0.679,14,17,1,0,0,0.381
wineglass,02,66,14,0,8,11,7,9,28,19,0.679,9,15,1,0,0,0.189
wineglass,03,73,16,4,2,13,10,7,27,23,0.852,13,18,1,0,0,0.2
wineglass,04,81,15,3,6,14,9,9,29,25,0.862,15,15,1,0,0,0.229
wineglass,05,79,17,2,4,13,10,10,30,24,0.8,21,18,1,0,0,0.283
wineglass,06,81,13,2,6,8,10,14,28,23,0.821,15,11,1,0,0,0.283
wineglass,07,74,16,0,4,16,9,8,28,23,0.821,14,12,1,0,0,0.475
wineglass,08,72,16,2,3,14,8,9,26,24,0.923,14,12,1,0,0,0.333
wineglass,09,72,14,2,2,15,10,9,25,25,1,12,16,1,0,0,0.474
wineglass,10,71,14,2,3,8,10,12,26,21,0.808,16,16,1,0,0,0.341
wineglass,11,77,17,2,5,6,8,13,29,20,0.69,21,18,1,0,0,0.283
wineglass,12,70,16,0,1,9,9,12,25,20,0.8,17,17,1,0,0,0.381
wineglass,13,68,15,1,1,13,9,9,24,22,0.917,15,16,1,0,0,0.436
wineglass,14,69,15,4,3,9,8,9,25,21,0.84,18,17,1,0,0,0.152
